Area,Price,Avg ratings
Khatodra Wadi,333.3333333333333,3.6999999999999997
Khilwat,200.0,3.5
Khokhra,290.90909090909093,3.5727272727272723
Kidderpore,250.0,3.6500000000000004
Kilpauk,313.9655172413793,3.8000000000000003
King Koti,100.0,4.1
Kiran Nagar,600.0,3.4
Kirti Nagar,216.66666666666666,2.9
Knk- Nungambakam (Cds)- Chennai,300.0,2.9
Kodambakkam,252.94117647058823,3.5323529411764705
Kodihalli,190.0,4.0
Kodungaiyur,263.0,3.87
Kolathur,300.0,3.3499999999999996
Kolkata,277.27272727272725,4.0
Kondhwa,311.328125,3.4484375
Kondhwa Budruk,287.5,2.9
Koramangala,351.9516129032258,3.8411290322580647
Koramangala - Bangalore,350.0,2.9
Koregaon Park,502.536231884058,3.5623188405797097
Koregoan Park,433.3333333333333,2.9
Kothapet,371.6,3.832
Kothapet & Dilshuknagar,300.0,3.9
Kothapet & Dilsukhnagar,294.3076923076923,3.223076923076923
Kothrud,321.2013422818792,3.497315436241611
Koti,334.7826086956522,3.9956521739130433
Kotturpuram,800.0,4.25
Koyambedu,212.5,3.5
Krishan Vihar,300.0,4.0
Krishna Nagar Colony,200.0,4.0
Krishna Park Tilak Nagar,300.0,4.1
Kuber Nagar,150.0,3.15
Kurla,332.51937984496124,3.4054263565891474
Kurla (W),200.0,2.9
Kurla - Mumbai,1000.0,3.5
Kurla East Nehru Nagar,250.0,2.9
Kurla West,379.6,3.8080000000000003
Kustia,450.0,2.9
L.B Nagar,500.0,3.5
L.P.Savani,300.0,4.3
Lakdi Ka Pul,200.0,2.9
Lakdikapul,375.0,4.05
Lake Gardens,275.0,3.8625
Lake Market,575.0,2.9
Lake Town,270.82608695652175,3.560869565217391
Lal Bazar,350.0,4.3
Lal Darwaja,594.4444444444445,3.933333333333333
Lal Darwaza,250.0,3.0
Laldarwaja,272.6666666666667,3.08
Langar Houz,200.0,4.2
Langford Gardens,337.5,3.95
Law College Road,300.0,3.9
Laxmi Encleve - Katargam,400.0,4.1
Lb Nagar,300.0,2.9
Lingarajapuram Kammanahalli,300.0,2.9
Lnt Mall Musarambagh,400.0,4.0
Lord Sinha Rd,300.0,4.1
Lower Parel Area,500.0,3.9
Lower Parel Worli,500.0,2.9
Lullanagar,375.0,3.9250000000000003
Machuabazar,325.0,4.058333333333334
Madannapet Colony,275.0,3.9
Madhavaram,150.0,4.0
Madhavaram - Manali,250.0,2.9
Madhupura,300.0,4.4
Madhura Nagar,200.0,4.2
Magarpatta,290.0,3.04
Magdalla,550.0,2.9
Magob,200.0,2.9
Mahadev Nagar Tekra,175.0,3.25
Mahalaxmi Rd,150.0,4.1
Maharshi Nagar,481.25,3.6
Mahim,150.0,4.4
Majestic,269.09090909090907,3.1727272727272724
Majura Gate,270.0,4.166666666666667
Malakpet,312.5,3.825
Malkajgiri,300.0,3.55
Malleshwaram,258.17021276595744,3.7680851063829786
Malleswaram,500.0,3.95
Mandaveli,150.0,3.7
Mangawadi,325.0,3.8499999999999996
Manicktala,283.3333333333333,3.766666666666667
Maniktala,400.0,3.9
Maniktala Main Rd,200.0,4.2
Maninagar,265.5111111111111,3.488888888888889
Manohar Pukur Road,300.0,2.9
Mantri Sqare Mall,900.0,2.9
Marol,300.0,3.55
Marol Maroshi Road,600.0,3.3333333333333335
Marol Sakinaka,377.1756756756757,3.160810810810811
Masab Tank,391.6666666666667,4.166666666666667
Matunga,400.0,4.164705882352941
Matunga East,400.0,4.7
Matunga Wadala,317.4,2.9699999999999998
Mehdipatnam,256.8181818181818,3.540909090909091
Memnagar,312.5,3.4
Mg Road,250.0,4.4
Mitul Square Piplod,200.0,3.8
Mmda Colony,250.0,2.9
Modi Colony,238.0,4.1
Mogapair,300.0,4.7
Mogappair,300.0,2.9
Moghalpura,175.0,3.9000000000000004
Mohammed Wadi,341.6666666666667,3.725
Moonlight Cream Sagrampura,200.0,4.3
Moosarambagh,300.0,4.1
Mota Varachha,310.0,3.44
Motera,200.0,4.05
Moti Nagar,291.6666666666667,3.483333333333333
Mukherjee Nagar,300.0,2.9
Mukti Nagar,400.0,4.2
Mumbai,387.5,4.075
Mundhwa,525.0,3.5
Murad Nagar,275.0,4.1
Musheerabad,200.0,4.0
Mylapore,405.1190476190476,3.8666666666666667
Nacharam,250.0,4.25
Nagarathpete,300.0,3.5999999999999996
Nagerbazar,300.0,4.3
Nagole,387.5,4.025
Naktala,400.0,3.7
Nalgonda,300.0,4.2
Nallakunta,250.0,4.3
Nallakunta & Vidyanagar,270.97777777777776,3.2511111111111113
Nampally,250.0,3.8909090909090907
Nana Varachha,169.85714285714286,3.057142857142857
Nandanam,733.3333333333334,3.966666666666667
Nangloi,300.0,3.6
Nanpura,249.23076923076923,3.923076923076923
